"","Identifiant.site","Nombre.de.sites","Hôte","Essence","Genre","espèce","Taxon.fonge","Croisement","Phylum","Famille"
"1",15,1,"PIN7-1","Pinus spp."," Venturia","sp"," Venturia sp","15 sp  Venturia sp","Ascomycète","Pyronemataceae"
"2",14,1,"CS3-20","Castanea sativa","Amanita","citrina","Amanita citrina","14 citrina Amanita citrina","Basidiomycète","Amanitaceae"
"3",14,NA,"CS3-22","Castanea sativa","Amanita","citrina","Amanita citrina","14 citrina Amanita citrina","Basidiomycète","Amanitaceae"
"4",7,3,"CJ1-1","Castanea sativa","Amanita","pantherina","Amanita pantherina","7 pantherina Amanita pantherina","Basidiomycète","Amanitaceae"
"5",14,NA,"CS3-1","Castanea sativa","Amanita","pantherina","Amanita pantherina","14 pantherina Amanita pantherina","Basidiomycète","Amanitaceae"
"6",14,NA,"CS3-15","Castanea sativa","Amanita","pantherina","Amanita pantherina","14 pantherina Amanita pantherina","Basidiomycète","Amanitaceae"
"7",14,NA,"CS7-12","Castanea sativa","Amanita","pantherina","Amanita pantherina","14 pantherina Amanita pantherina","Basidiomycète","Amanitaceae"
"8",15,NA,"FS1-14","Fagus sylvatica","Amanita","pantherina","Amanita pantherina","15 pantherina Amanita pantherina","Basidiomycète","Amanitaceae"
"9",15,NA,"FS1-6","Fagus sylvatica","Amanita","pantherina","Amanita pantherina","15 pantherina Amanita pantherina","Basidiomycète","Amanitaceae"
"10",15,NA,"FS1-8","Fagus sylvatica","Amanita","pantherina","Amanita pantherina","15 pantherina Amanita pantherina","Basidiomycète","Amanitaceae"
"11",15,NA,"FS6-15","Fagus sylvatica","Amanita","pantherina","Amanita pantherina","15 pantherina Amanita pantherina","Basidiomycète","Amanitaceae"
"12",15,NA,"FS6-16","Fagus sylvatica","Amanita","pantherina","Amanita pantherina","15 pantherina Amanita pantherina","Basidiomycète","Amanitaceae"
"13",15,NA,"FS6-2","Fagus sylvatica","Amanita","pantherina","Amanita pantherina","15 pantherina Amanita pantherina","Basidiomycète","Amanitaceae"
"14",15,NA,"FS6-3","Fagus sylvatica","Amanita","pantherina","Amanita pantherina","15 pantherina Amanita pantherina","Basidiomycète","Amanitaceae"
"15",15,NA,"PIN7-9","Pinus spp.","Amanita","pantherina","Amanita pantherina","15 pantherina Amanita pantherina","Basidiomycète","Amanitaceae"
"16",7,1,"AC2-3","Alnus cordata","Amanita","rubescens","Amanita rubescens","7 rubescens Amanita rubescens","Basidiomycète","Amanitaceae"
"17",14,NA,"AU3-2","Arbutus unedo","Amphinema","sp1","Amphinema sp1","14 sp1 Amphinema sp1","Basidiomycète","Tylosporaceae"
"18",14,NA,"AU3-5","Arbutus unedo","Amphinema","sp1","Amphinema sp1","14 sp1 Amphinema sp1","Basidiomycète","Tylosporaceae"
"19",14,NA,"AU3-7","Arbutus unedo","Amphinema","sp1","Amphinema sp1","14 sp1 Amphinema sp1","Basidiomycète","Tylosporaceae"
"20",7,3,"CS3-1","Castanea sativa","Amphinema","sp1","Amphinema sp1","7 sp1 Amphinema sp1","Basidiomycète","Tylosporaceae"
"21",15,NA,"CS2-4","Castanea sativa","Amphinema","sp1","Amphinema sp1","15 sp1 Amphinema sp1","Basidiomycète","Tylosporaceae"
"22",15,1,"PIN4S-1","Pinus spp.","Amphinema","sp2","Amphinema sp2","15 sp2 Amphinema sp2","Basidiomycète","Tylosporaceae"
"23",15,NA,"PIN4S-9","Pinus spp.","Amphinema","sp2","Amphinema sp2","15 sp2 Amphinema sp2","Basidiomycète","Tylosporaceae"
"24",14,NA,"CS7-13","Castanea sativa","Astraeus","pteridis","Astraeus pteridis","14 pteridis Astraeus pteridis","Basidiomycète","Tylosporaceae"
"25",7,2,"CS1-10","Castanea sativa","Astraeus ","pteridis","Astraeus  pteridis","7 pteridis Astraeus  pteridis","Basidiomycète","Tylosporaceae"
"26",7,NA,"CS1-3","Castanea sativa","Astraeus ","pteridis","Astraeus  pteridis","7 pteridis Astraeus  pteridis","Basidiomycète","Tylosporaceae"
"27",7,NA,"CS1-4","Castanea sativa","Astraeus ","pteridis","Astraeus  pteridis","7 pteridis Astraeus  pteridis","Basidiomycète","Tylosporaceae"
"28",15,1,"PIN4S-7","Pinus spp.","Atheliaceae","sp","Atheliaceae sp","15 sp Atheliaceae sp","Basidiomycète","Atheliaceae"
"29",7,1,"AU3-5","Arbutus unedo","Auricularia","sp","Auricularia sp","7 sp Auricularia sp","Basidiomycète","Auriculariaceae"
"30",7,1,"CJ1-9","Castanea sativa","Boletus","aereus","Boletus aereus","7 aereus Boletus aereus","Basidiomycète","Boletaceae"
"31",14,1,"QP3-11","Quercus pubescens","Byssocorticium ","atrovirens","Byssocorticium  atrovirens","14 atrovirens Byssocorticium  atrovirens","Basidiomycète","Byssicorticiaceae"
"32",14,NA,"QP3-5","Quercus pubescens","Byssocorticium ","atrovirens","Byssocorticium  atrovirens","14 atrovirens Byssocorticium  atrovirens","Basidiomycète","Byssicorticiaceae"
"33",14,1,"PIN3-13","Pinus spp.","Byssocorticium ","sp","Byssocorticium  sp","14 sp Byssocorticium  sp","Basidiomycète","Byssicorticiaceae"
"34",15,NA,"FS6-8","Fagus sylvatica","Cenococcum","sp","Cenococcum sp","15 sp Cenococcum sp","Ascomycète","Dothydeomycetes"
"35",7,2,"QI1-4","Quercus ilex","Cenococcum","sp","Cenococcum sp","7 sp Cenococcum sp","Ascomycète","Dothydeomycetes"
"36",15,1,"QI6-6","Quercus ilex","Cenococcum","sp 3","Cenococcum sp 3","15 sp 3 Cenococcum sp 3","Ascomycète","Dothydeomycetes"
"37",7,1,"CJ1-5","Castanea sativa","Cenococcum","sp1","Cenococcum sp1","7 sp1 Cenococcum sp1","Ascomycète","Dothydeomycetes"
"38",7,NA,"CS4-10","Castanea sativa","Cenococcum","sp1","Cenococcum sp1","7 sp1 Cenococcum sp1","Ascomycète","Dothydeomycetes"
"39",7,NA,"CS6-1","Castanea sativa","Cenococcum","sp1","Cenococcum sp1","7 sp1 Cenococcum sp1","Ascomycète","Dothydeomycetes"
"40",14,1,"CS3-2","Castanea sativa","Cenococcum","sp2","Cenococcum sp2","14 sp2 Cenococcum sp2","Ascomycète","Dothydeomycetes"
"41",15,1,"CS3-8","Castanea sativa","Cenococcum","sp3","Cenococcum sp3","15 sp3 Cenococcum sp3","Ascomycète","Dothydeomycetes"
"42",15,NA,"CS4-1","Castanea sativa","Cenococcum","sp3","Cenococcum sp3","15 sp3 Cenococcum sp3","Ascomycète","Dothydeomycetes"
"43",15,NA,"CS4-4","Castanea sativa","Cenococcum","sp3","Cenococcum sp3","15 sp3 Cenococcum sp3","Ascomycète","Dothydeomycetes"
"44",15,NA,"CS4-8","Castanea sativa","Cenococcum","sp3","Cenococcum sp3","15 sp3 Cenococcum sp3","Ascomycète","Dothydeomycetes"
"45",15,NA,"CS6-2","Castanea sativa","Cenococcum","sp3","Cenococcum sp3","15 sp3 Cenococcum sp3","Ascomycète","Dothydeomycetes"
"46",15,NA,"FS6-7","Fagus sylvatica","Cenococcum","sp3","Cenococcum sp3","15 sp3 Cenococcum sp3","Ascomycète","Dothydeomycetes"
"47",15,NA,"PIN2-13","Pinus spp.","Cenococcum","sp3","Cenococcum sp3","15 sp3 Cenococcum sp3","Ascomycète","Dothydeomycetes"
"48",15,NA,"PIN2-19","Pinus spp.","Cenococcum","sp3","Cenococcum sp3","15 sp3 Cenococcum sp3","Ascomycète","Dothydeomycetes"
"49",15,NA,"PIN2-20","Pinus spp.","Cenococcum","sp3","Cenococcum sp3","15 sp3 Cenococcum sp3","Ascomycète","Dothydeomycetes"
"50",15,NA,"QI6-1","Quercus ilex","Cenococcum","sp3","Cenococcum sp3","15 sp3 Cenococcum sp3","Ascomycète","Dothydeomycetes"
"51",15,NA,"QI6-2","Quercus ilex","Cenococcum","sp3","Cenococcum sp3","15 sp3 Cenococcum sp3","Ascomycète","Dothydeomycetes"
"52",15,NA,"QI6-3","Quercus ilex","Cenococcum","sp3","Cenococcum sp3","15 sp3 Cenococcum sp3","Ascomycète","Dothydeomycetes"
"53",15,NA,"QP7-2","Quercus pubescens","Cenococcum","sp3","Cenococcum sp3","15 sp3 Cenococcum sp3","Ascomycète","Dothydeomycetes"
"54",15,1,"QP2-2","Quercus pubescens","Cenococcum","sp4","Cenococcum sp4","15 sp4 Cenococcum sp4","Ascomycète","Dothydeomycetes"
"55",14,NA,"AU1-3","Arbutus unedo","Cenococcum","sp5","Cenococcum sp5","14 sp5 Cenococcum sp5","Ascomycète","Dothydeomycetes"
"56",14,NA,"AU1-4","Arbutus unedo","Cenococcum","sp5","Cenococcum sp5","14 sp5 Cenococcum sp5","Ascomycète","Dothydeomycetes"
"57",14,NA,"AU1-6","Arbutus unedo","Cenococcum","sp5","Cenococcum sp5","14 sp5 Cenococcum sp5","Ascomycète","Dothydeomycetes"
"58",14,NA,"CS7-9","Castanea sativa","Cenococcum","sp5","Cenococcum sp5","14 sp5 Cenococcum sp5","Ascomycète","Dothydeomycetes"
"59",15,1,"CS2-5","Castanea sativa","Cenococcum","sp5","Cenococcum sp5","15 sp5 Cenococcum sp5","Ascomycète","Dothydeomycetes"
"60",15,NA,"CS6-4","Castanea sativa","Cenococcum","sp5","Cenococcum sp5","15 sp5 Cenococcum sp5","Ascomycète","Dothydeomycetes"
"61",15,NA,"FS1-5","Fagus sylvatica","Cenococcum","sp5","Cenococcum sp5","15 sp5 Cenococcum sp5","Ascomycète","Dothydeomycetes"
"62",15,NA,"PIN4S-8","Pinus spp.","Cenococcum","sp5","Cenococcum sp5","15 sp5 Cenococcum sp5","Ascomycète","Dothydeomycetes"
"63",7,3,"QI1-2","Quercus ilex","Cenococcum","sp5","Cenococcum sp5","7 sp5 Cenococcum sp5","Ascomycète","Dothydeomycetes"
"64",15,NA,"QI4","Quercus ilex","Cenococcum","sp5","Cenococcum sp5","15 sp5 Cenococcum sp5","Ascomycète","Dothydeomycetes"
"65",15,NA,"QI4-2","Quercus ilex","Cenococcum","sp5","Cenococcum sp5","15 sp5 Cenococcum sp5","Ascomycète","Dothydeomycetes"
"66",15,NA,"QP1-4","Quercus pubescens","Cenococcum","sp5","Cenococcum sp5","15 sp5 Cenococcum sp5","Ascomycète","Dothydeomycetes"
"67",15,NA,"QP1-5","Quercus pubescens","Cenococcum","sp5","Cenococcum sp5","15 sp5 Cenococcum sp5","Ascomycète","Dothydeomycetes"
"68",15,NA,"QP3-8","Quercus pubescens","Cenococcum","sp5","Cenococcum sp5","15 sp5 Cenococcum sp5","Ascomycète","Dothydeomycetes"
"69",15,1,"AU1-2","Arbutus unedo","Cenococcum","sp6","Cenococcum sp6","15 sp6 Cenococcum sp6","Ascomycète","Dothydeomycetes"
"70",15,NA,"AU1-4","Arbutus unedo","Cenococcum","sp6","Cenococcum sp6","15 sp6 Cenococcum sp6","Ascomycète","Dothydeomycetes"
"71",15,NA,"AU5-6","Arbutus unedo","Cenococcum","sp6","Cenococcum sp6","15 sp6 Cenococcum sp6","Ascomycète","Dothydeomycetes"
"72",15,NA,"CS2-12","Castanea sativa","Cenococcum","sp6","Cenococcum sp6","15 sp6 Cenococcum sp6","Ascomycète","Dothydeomycetes"
"73",15,NA,"CS3-3","Castanea sativa","Cenococcum","sp6","Cenococcum sp6","15 sp6 Cenococcum sp6","Ascomycète","Dothydeomycetes"
"74",15,NA,"CS7-15","Castanea sativa","Cenococcum","sp6","Cenococcum sp6","15 sp6 Cenococcum sp6","Ascomycète","Dothydeomycetes"
"75",15,NA,"PIN1-4","Pinus spp.","Cenococcum","sp6","Cenococcum sp6","15 sp6 Cenococcum sp6","Ascomycète","Dothydeomycetes"
"76",15,NA,"PIN7-10","Pinus spp.","Cenococcum","sp6","Cenococcum sp6","15 sp6 Cenococcum sp6","Ascomycète","Dothydeomycetes"
"77",15,NA,"PIN7-4","Pinus spp.","Cenococcum","sp6","Cenococcum sp6","15 sp6 Cenococcum sp6","Ascomycète","Dothydeomycetes"
"78",15,NA,"QI2-1","Quercus ilex","Cenococcum","sp6","Cenococcum sp6","15 sp6 Cenococcum sp6","Ascomycète","Dothydeomycetes"
"79",15,NA,"QP2-7","Quercus pubescens","Cenococcum","sp6","Cenococcum sp6","15 sp6 Cenococcum sp6","Ascomycète","Dothydeomycetes"
"80",15,NA,"QP2-8","Quercus pubescens","Cenococcum","sp6","Cenococcum sp6","15 sp6 Cenococcum sp6","Ascomycète","Dothydeomycetes"
"81",15,NA,"QP4-11","Quercus pubescens","Cenococcum","sp6","Cenococcum sp6","15 sp6 Cenococcum sp6","Ascomycète","Dothydeomycetes"
"82",15,NA,"QP4-8","Quercus pubescens","Cenococcum","sp6","Cenococcum sp6","15 sp6 Cenococcum sp6","Ascomycète","Dothydeomycetes"
"83",14,1,"CS3-8","Castanea sativa","Cladosporium","sp","Cladosporium sp","14 sp Cladosporium sp","Ascomycète","Cladosporiaceae"
"84",14,NA,"CS1-9","Castanea sativa","Clavulina","rugosa","Clavulina rugosa","14 rugosa Clavulina rugosa","Basidiomycète","Clavulinaceae"
"85",7,2,"CISTE2-3","Cistus salviifolius","Clavulina","rugosa","Clavulina rugosa","7 rugosa Clavulina rugosa","Basidiomycète","Clavulinaceae"
"86",7,NA,"CISTE2-5","Cistus salviifolius","Clavulina","rugosa","Clavulina rugosa","7 rugosa Clavulina rugosa","Basidiomycète","Clavulinaceae"
"87",15,1,"PIN7-6","Pinus spp.","Cortinarius"," furvoumbrinus","Cortinarius  furvoumbrinus","15  furvoumbrinus Cortinarius  furvoumbrinus","Basidiomycète","Cortinariaceae"
"88",14,1,"CS3-14","Castanea sativa","Cortinarius","croceus sl","Cortinarius croceus sl","14 croceus sl Cortinarius croceus sl","Basidiomycète","Cortinariaceae"
"89",15,1,"PIN7-8","Pinus spp.","Cortinarius","furvoumbrinus","Cortinarius furvoumbrinus","15 furvoumbrinus Cortinarius furvoumbrinus","Basidiomycète","Cortinariaceae"
"90",7,1,"CS6-2","Castanea sativa","Cortinarius","nolaneiformis","Cortinarius nolaneiformis","7 nolaneiformis Cortinarius nolaneiformis","Basidiomycète","Cortinariaceae"
"91",7,NA,"CS6-5","Castanea sativa","Cortinarius","nolaneiformis","Cortinarius nolaneiformis","7 nolaneiformis Cortinarius nolaneiformis","Basidiomycète","Cortinariaceae"
"92",7,NA,"CS6-6","Castanea sativa","Cortinarius","nolaneiformis","Cortinarius nolaneiformis","7 nolaneiformis Cortinarius nolaneiformis","Basidiomycète","Cortinariaceae"
"93",7,1,"CS6-7","Castanea sativa","Cortinarius","sp","Cortinarius sp","7 sp Cortinarius sp","Basidiomycète","Cortinariaceae"
"94",7,1,"CS5-13","Castanea sativa","Cortinarius","uraceomajalis","Cortinarius uraceomajalis","7 uraceomajalis Cortinarius uraceomajalis","Basidiomycète","Cortinariaceae"
"95",7,NA,"CS5-2","Castanea sativa","Cortinarius","uraceomajalis","Cortinarius uraceomajalis","7 uraceomajalis Cortinarius uraceomajalis","Basidiomycète","Cortinariaceae"
"96",14,1,"QI1-1","Quercus ilex","Cryptodiscus","sp","Cryptodiscus sp","14 sp Cryptodiscus sp","Ascomycète","Lecanorale"
"97",15,1,"PIN2-21","Pinus spp.","Dermoloma","cuneifolium","Dermoloma cuneifolium","15 cuneifolium Dermoloma cuneifolium","Basidiomycète","Tricholomataceae"
