Species,S15,S14,S7
Venturia sp,1,0,0
Amanita citrina,0,1,0
Amanita pantherina,1,1,1
Amanita rubescens,0,0,1
Amphinema sp1,1,1,1
Amphinema sp2,1,0,0
Astraeus pteridis,0,1,1
Atheliaceae sp,1,0,0
Auricularia sp,0,0,1
Boletus aereus,0,0,1
Byssocorticium  atrovirens,0,1,0
Byssocorticium  sp,0,1,0
Cenococcum sp,1,0,1
Cenococcum sp 3,1,0,0
Cenococcum sp1,0,0,1
Cenococcum sp2,0,1,0
Cenococcum sp3,1,0,0
Cenococcum sp4,1,0,0
Cenococcum sp5,1,1,1
Cenococcum sp6,1,0,0
Cladosporium sp,0,1,0
Clavulina rugosa,0,1,1
Cortinarius  furvoumbrinus,1,0,0
Cortinarius croceus sl,0,1,0
Cortinarius furvoumbrinus,1,0,0
Cortinarius nolaneiformis,0,0,1
Cortinarius sp,0,0,1
Cortinarius uraceomajalis,0,0,1
Cryptodiscus sp,0,1,0
Dermoloma cuneifolium,1,0,0
Exidia sp,0,1,0
Fibroporia vaillantii,1,0,0
Galactinia sp.,1,0,1
Genea sp,1,0,0
Genea verrucosa,1,0,0
Geopora aff. closa,0,1,0
Geopora sp,0,1,0
Golubevia palescens,1,0,0
Gymnopus dryophilus,1,0,0
Helotiales sp,1,0,0
Helotiales sp1,1,0,0
Helotiales sp2,0,1,1
Helotiales sp3,1,0,0
Helotiales sp4,1,0,0
Helotiales sp5,1,0,0
Helotiales sp6,1,0,0
Helotiales sp7,1,0,0
Helotiales sp8,1,1,1
Helotiales sp9,1,1,1
Helvellosebacina sp,0,1,0
Humaria hemisphaerica,1,1,0
Hyaloscyphaceae sp,1,0,0
Hydnum ovoideisporum,1,1,0
Hydropus pseudotenax,0,1,0
Hymenoscyphus sp,1,0,0
Hypholoma fasciculare,1,0,0
Inocybe amygdaliolens,1,0,0
Inocybe assimilata,0,0,1
Inocybe catalaunica,0,1,0
Inocybe cincinnata,1,0,0
Inocybe geophylla,1,1,0
Inocybe pudica,0,1,0
Inocybe sp,1,0,0
Inocybe suecica,0,0,1
Laccaria sp1,0,1,1
Laccaria sp2,1,0,1
Lachnum sp,1,1,0
Lactarius chrysorrheus,0,0,1
Lactarius deliciosus,1,0,0
Lactarius piperatus,0,1,0
Lactarius serifluus,0,0,1
Mortierella sp1,0,0,1
Mortierella sp2,0,0,1
Mycena amicta,0,1,0
Mycena aurantiomarginata,1,0,0
Mycena cf capillaripes,1,0,0
Mycena cf. aetites,0,1,0
Mycena leptocephala,0,1,0
Nagrajchalara sp,0,1,0
Neonectria sp,0,1,0
Oidiodendron sp,1,0,1
Oidiodendron sp2,1,1,1
Oidiodendron sp1,0,1,1
Oliveonia sp,0,1,0
Otidea  bufonia,0,1,0
Pachyphlodes sp,1,0,0
Peniophora incarnata,1,0,0
Peniophora sp,0,1,0
Pezizales sp,0,1,0
Phaeosphaeriae sp,0,0,1
Phialocephala fortinii,0,1,1
Piloderma olivaceum,0,1,1
Piloderma rallum,1,0,0
Piloderma sp1,1,0,0
Piloderma sp2,1,0,0
Pseudotomentella sp,1,0,0
Pyronemataceae sp1,0,0,1
Pyronemataceae sp2,0,0,1
Russula  lepida,0,1,0
Russula amoenolens,0,1,1
Russula anthracina,1,0,0
Russula cessans,1,0,0
Russula cf globispora,1,0,0
Russula delica sl,1,1,1
Russula fragilis,0,0,1
Russula integra,0,1,1
Russula nigrifacta,0,0,1
Russula olivacea,1,0,0
Russula recondita,1,1,0
Russula risigallina,1,0,1
Russula sanguinea,0,1,1
Russula sp,1,0,0
Russula velutipes,0,1,0
Russula vesca,0,0,1
Russula virescens,0,0,1
Saitozyma  potzolica,1,1,0
Scleroderma verrucosum,1,0,0
Sebacina sp,1,0,0
Sebacina sp1,1,0,0
Sebacina sp2,0,1,1
Simplicillium sp,1,0,0
Sistotrema sp1,1,0,1
Sistotrema sp2,0,0,1
Sistotrema sp3,1,0,0
Suillus luteus,1,0,0
Talaromyces sp,0,0,1
Talaromyces sp1,0,1,0
Talaromyces sp2,0,0,1
Terfezia sp,0,1,0
Thelephora sp,1,0,0
Tomentella sp,1,1,1
Tomentella sp 19,1,0,0
Tomentella sp 24,1,0,0
Tomentella sp 6,1,0,0
Tomentella sp1,0,1,1
Tomentella sp10,1,1,0
Tomentella sp11,0,0,1
Tomentella sp12,1,0,0
Tomentella sp13,1,1,1
Tomentella sp14,1,0,1
Tomentella sp17,0,0,1
Tomentella sp18,1,0,0
Tomentella sp19,1,0,1
Tomentella sp2,1,0,0
Tomentella sp20,0,1,1
Tomentella sp21,1,0,0
Tomentella sp22,1,0,0
Tomentella sp23,1,0,0
Tomentella sp24,1,0,0
Tomentella sp3,0,1,0
Tomentella sp5,0,0,1
Tomentella sp6,1,0,0
Tomentella sp7,0,1,0
Tomentella sp8,1,0,0
Tomentella sp9,1,0,0
Tomentella  sp3,0,1,0
Tomentella  sp4,0,1,0
Trechisporales sp1,0,1,0
Trechisporales sp2,1,0,0
Trechisporales sp3,1,0,0
Trichoderma sp,1,0,0
Tricholoma albobrunneum,0,1,0
Tricholoma portentosum,1,0,0
Trichophaea sp,1,1,1
Tuber  borchii,1,1,1
Wilcoxina rehmii,1,0,1
Xerocomellus chrysenteron,1,0,0
Xerocomellus porosporus,1,0,0
Xerocomus subtomentosus,0,0,1
